weekday,title,artists,ratings
Monday,참교육,"['채용택 ', ' 한가람']",9.83
Monday,쇼미더럭키짱!,"['박태준 ', ' 김성모']",9.39
Monday,뷰티풀 군바리,"['설이 ', ' 윤성원']",9.81
Monday,신의 탑,['SIU'],9.91
Monday,퀘스트지상주의,['박태준 만화회사'],9.67
Monday,윈드브레이커,['조용석'],9.85
Monday,장씨세가 호위...,"['김인호 ', ' 조형근']",9.94
Monday,소녀의 세계,['모랑지'],9.94
Monday,백수세끼,['치즈'],9.84
Monday,팔이피플,"['매미 ', ' 희세']",9.92
Monday,앵무살수,['김성진'],9.98
Monday,잔불의 기사,['환댕'],9.95
Monday,만렙돌파,"['성불예정,홍실 ', ' 미노']",9.42
Monday,리턴 투 플레...,"['엄키 ', ' 세혼 ', ' 인덱스']",9.90
Monday,요리GO,['HO9'],9.94
Monday,아마도,['마파체'],9.79
Monday,매지컬 급식,['웡웡이'],9.85
Monday,파운더,"['임상윤 ', ' 만두인']",9.79
Monday,더블클릭,"['김장훈,박수봉 ', ' 박수봉']",9.90
Monday,평범한 8반,['영파카'],9.84
Monday,히어로메이커,['빤쓰'],9.96
Monday,똑 닮은 딸,['이담'],9.98
Monday,칼가는 소녀,['오리'],9.97
Monday,미니어처 생활...,['엘렌 심'],9.96
Monday,물어보는 사이,['성은'],9.96
Monday,결혼생활 그림...,['은꼼지'],9.96
Monday,파견체,['곽백수'],9.80
Monday,아는 여자애,['허니비'],9.97
Monday,꼬리잡기,['바쉬'],9.94
Monday,신군,['규남'],9.91
Monday,황제와의 하룻밤,"['예영 ', ' INUS ', ' 차승...']",9.93
Monday,꿈의 기업,['문지현'],9.97
Monday,이별 후 사내...,"['미믹 ', ' 이달리']",9.94
Monday,결혼공략,['율무'],9.83
Monday,"아, 쫌 참으...","['새우초밥 ', ' daybook']",9.97
Monday,이제야 연애,"['딘돈 ', ' 서혜은']",9.96
Monday,오빠집이 비어서,"['이서희 ', ' 태소영']",9.83
Monday,입술이 예쁜 ...,"['고도 ', ' 플라비']",9.89
Monday,와이키키 뱀파...,['요니요니'],9.97
Monday,제왕: 빛과 ...,"['김남규 ', ' 애풍,김한석']",9.85
Monday,"또다시, 계약...","['제제 ', ' 설우희']",9.80
Monday,디나운스,['윤예'],9.81
Monday,싸이코 리벤지,"['기송 ', ' 넴가']",9.35
Monday,말박왕,['용사'],9.90
Monday,야생천사 보호...,['루시드'],9.98
Monday,홍천기,"['LICO ', ' 정은궐']",9.95
Monday,바퀴,"['나우원 ', ' 오른손']",9.89
Monday,사랑의 헌옷수...,['고잉'],9.96
Monday,원작은 완결난...,"['도래 ', ' 원더드림']",9.98
Monday,원하는 건 너...,"['달콤J,박성실 ', ' sage']",9.63
Monday,레지나레나 -...,"['곽나나 ', ' 설동원 ', ' 김영지']",9.90
Monday,왕따협상,['아이아리'],9.69
Monday,찌질하지만 로...,['상수'],8.41
Monday,최후의 금빛아이,"['알깨 ', ' 새몽']",9.94
Monday,별을 쫓는 소...,['HYBE'],8.69
Monday,달로 만든 아이,['온윤'],9.97
Monday,나만의 고막남친,"['비로 ', ' 팀 노란 ', ' 이혜율']",9.89
Monday,모스크바의 여명,"['타이밍 ', ' 이샨오 ', ' 황장미']",9.94
Monday,마지막 지수,"['에리카 ', ' 채나라']",9.94
Monday,모락모락 왕세...,['원해'],9.89
Monday,중독연구소,['김택기'],9.85
Monday,그림자 신부,"['이새인 ', ' 덥머']",9.88
Monday,개밥 먹는 남자,['김태순'],9.93
Monday,악녀 18세 ...,['홍혜'],9.95
Monday,역주행!,['김현아'],9.92
Monday,사막에 핀 달,['선지'],9.80
Monday,헬로맨스,"['이공주 ', ' 하얀독수리']",9.87
Monday,남주서치,['잔비'],9.91
Monday,결백한 사람은...,['서각'],9.86
Monday,오로지 오로라,['홍달'],9.89
Monday,슈퍼스타 천대리,"['박경원 ', ' 이재국 ', ' Do8']",9.74
Monday,기사님을 지켜줘,['달봉'],9.83
Monday,순정말고 순종,['슈안'],9.97
Tuesday,여신강림,['야옹이'],9.44
Tuesday,쇼미더럭키짱!,"['박태준 ', ' 김성모']",9.39
Tuesday,김부장,"['박태준 만화회사 ', ' 정종택']",8.45
Tuesday,멸망 이후의 ...,"['S-Cynan ', ' 언데드 ...']",9.94
Tuesday,대학원 탈출일지,['요다'],9.97
Tuesday,1을 줄게,['김계란'],9.96
Tuesday,한림체육관,"['혜성 ', ' 이석재']",9.74
Tuesday,내가 키운 S...,"['seri ', ' 비완 ', ' 근서']",9.88
Tuesday,하루만 네가 ...,['삼'],9.98
Tuesday,중증외상센터 ...,"['홍비치라 ', ' 한산이가']",9.97
Tuesday,사신소년,['류'],9.92
Tuesday,용사가 돌아왔다,"['나락 ', ' 풍백']",8.98
Tuesday,니나의 마법서랍,['랑또'],9.98
Tuesday,랜덤채팅의 그...,['박은혁'],9.52
Tuesday,신도림,['오세형'],9.94
Tuesday,삼국지톡,"['무적핑크 ', ' 이리']",9.91
Tuesday,뽀샵일기,['자까'],9.96
Tuesday,엽총소년,"['김칸비 ', ' 홍필']",9.95
Tuesday,헬58,['장성준'],9.87
Tuesday,집이 없어,['와난'],9.97
Tuesday,하북팽가 막내...,"['스튜디오M ', ' 기원 ', ' 무향']",9.73
Tuesday,덴큐,['백감독'],9.75
Tuesday,벽간소음,['이백'],9.90
Tuesday,위아더좀비,['이명재'],9.97
Tuesday,원주민 공포만화,['원주민'],9.88
Tuesday,윌유메리미,['마인드C'],9.92
Tuesday,소극적 인간,['다쓴총'],9.89
Tuesday,잿빛오름,['유형석'],8.61
Tuesday,몬스터,['이은재'],9.63
Tuesday,내남친 킹카만...,"['랑쓰 ', ' 섯끼']",8.74
Tuesday,애옹식당,['정다정'],9.95
Tuesday,늑대처럼 홀로,"['이상훈 ', ' 이현세']",9.88
Tuesday,짝사랑의 마침표,['숭어'],9.94
Tuesday,하우스키퍼,"['채용택 ', ' 유현']",9.97
Tuesday,붉은 이정표,['달뜬'],9.75
Tuesday,한입만!,['이한솔'],9.88
Tuesday,견우와 선녀,['안수민'],9.98
Tuesday,올가미,['해무리'],9.98
Tuesday,"플레이, 플리",['이에프'],9.97
Tuesday,택배 왔습니다,['이한손'],9.81
Tuesday,정년이,"['서이레 ', ' 나몬']",9.96
Tuesday,용왕님의 셰프...,"['옥 ', ' 카라쿨 ', ' 문백경']",9.98
Tuesday,은주의 방 2...,['노란구미'],9.94
Tuesday,100,"['형은 ', ' 최윤열']",9.68
Tuesday,아이즈,['정썸머'],9.96
Tuesday,이상형은 아닙...,"['박윤영 ', ' 은동이']",9.52
Tuesday,빅맨,['하하영'],9.69
Tuesday,미물,"['외눈박이 ', ' 김도연']",9.89
Tuesday,나타나주세요!,['김기현'],9.96
Tuesday,"대공님, 실수...","['시세Sisse, 이정은 ', '...']",9.79
Tuesday,제로게임,['즐바센'],9.97
Tuesday,연우의 순정,['이솔'],9.97
Tuesday,빌런투킬,"['퓨핀 ', ' 은지']",9.89
Tuesday,숲속의 담,['다홍'],9.98
Tuesday,태시트,['김다찌'],9.93
Tuesday,또 다른 사랑,"['이순기 ', ' 또각 ', ' 스파클라']",9.94
Tuesday,나의 플랏메이트,['산삼'],9.91
Tuesday,열녀박씨 계약...,"['안젤리크 ', ' 닷다 ', ' 김너울']",9.92
Tuesday,시벨롬 리스트,['LICO'],9.90
Tuesday,나는 어디에나...,['김선권'],9.90
Tuesday,그녀석 정복기,['강은영'],9.92
Tuesday,필리아로제 -...,"['YUMI ', ' Ryuta ', '...']",9.96
Tuesday,이븐 모어,"['성, 귤씨 ', ' 토피 ', ' 달로']",9.92
Tuesday,대신 심부름을...,['고아라'],9.98
Tuesday,기계증식증,['홍작가'],9.87
Tuesday,그 남주와 이...,"['소나불 ', ' 미니']",9.87
Tuesday,교환학생,['올챙구리'],9.87
Tuesday,미신,"['미요커 ', ' 제촘']",9.72
Tuesday,급식러너,['슬랭킷'],9.86
Tuesday,프린스 메이커,['수오수'],9.92
Tuesday,풋내기들,['신여름'],9.95
Tuesday,다꾸남,['코츠'],9.73
Tuesday,NG불가,['고선영'],9.96
Tuesday,피로만땅,['샤니'],9.93
Tuesday,고등매직,['잭형'],9.79
Tuesday,찐:종합게임동...,['소장'],9.72
Tuesday,하나in세인,['석한'],9.87
Wednesday,전지적 독자 ...,"['UMI ', ' 슬리피-C ', ' ...']",9.97
Wednesday,쇼미더럭키짱!,"['박태준 ', ' 김성모']",9.39
Wednesday,화산귀환,"['LICO ', ' 비가']",9.95
Wednesday,헬퍼 2 : ...,['삭'],8.91
Wednesday,먹는 인생,['홍끼'],9.96
Wednesday,캐슬,['정연'],9.97
Wednesday,튜토리얼 탑의...,"['루비 ', ' 방구석김씨']",9.73
Wednesday,여고생 드래곤,['땅콩'],9.97
Wednesday,일렉시드,"['손제호 ', ' 제나']",9.83
Wednesday,쓰레기는 쓰레...,['EDDiERiNG'],9.95
Wednesday,내 남편과 결...,"['LICO ', ' 성소작']",9.97
Wednesday,66666년 ...,"['타루, 팀 더 지크 ', ' 파...']",9.93
Wednesday,여주실격!,['기맹기'],9.96
Wednesday,나쁜사람,['둠스'],9.82
Wednesday,비즈니스 여친,"['루즌아 ', ' 서해']",9.68
Wednesday,연놈,['상하'],9.85
Wednesday,세상은 돈과 ...,"['한동우 ', ' 이도희']",9.89
Wednesday,엔딩 후 서브...,"['정서 ', ' 황도톨']",9.98
Wednesday,고삼무쌍,"['B급달궁 ', ' 하마']",9.84
Wednesday,마른 가지에 ...,"['화음 ', ' 달새울']",9.98
Wednesday,베스트 프렌드,['망순'],9.92
Wednesday,미래의 골동품...,['구아진'],9.98
Wednesday,그림자의 밤,['융'],9.96
Wednesday,남주의 첫날밤...,"['티바 ', ' MSG ', ' 황도톨']",9.98
Wednesday,판타지 여동생!,['유누'],9.85
Wednesday,하렘의 남자들,"['히어리 ', ' 영빈 ', ' 알파타...']",9.95
Wednesday,낙원의 이론,"['무멘 ', ' 정선우']",9.65
Wednesday,사상최강,"['이단아 ', ' 황규영']",9.87
Wednesday,언덕 위의 제...,['쿠당탕'],9.92
Wednesday,메모리얼,['상C'],9.87
Wednesday,귀곡의 문,['삼촌'],9.98
Wednesday,얼굴천재,['지에이'],9.86
Wednesday,고민남녀 방백...,['고태호'],9.89
Wednesday,아도나이,['주동근'],9.92
Wednesday,칼부림,['고일권'],9.91
Wednesday,밤낚시,"['LICO ', ' 디귿']",9.77
Wednesday,가짜 동맹,['케냠'],9.96
Wednesday,수요웹툰의 나...,"['이경민 ', ' 송준혁']",9.83
Wednesday,마녀와 용의 ...,"['뉴릉이 ', ' 디망 ', ' 바리달']",9.96
Wednesday,방탈출,['십박'],9.95
Wednesday,더 퀸즈,"['청민 ', ' 이수현']",9.71
Wednesday,헤어지면 죽음,"['봄소희 ', ' KYMA']",9.88
Wednesday,산의 시간,['지님'],9.77
Wednesday,관종교장,['좌승훈'],9.93
Wednesday,로어 올림푸스,['레이첼 스마이스'],9.93
Wednesday,블랙홀과 3만원,"['김규삼 ', ' 혜원']",9.93
Wednesday,괴물공작의 딸,"['한바다 ', ' 찬란']",9.42
Wednesday,반귀,['세정'],9.96
Wednesday,내가 죽기로 ...,['YUJU'],9.96
Wednesday,오징어도 사랑...,"['젤리피쉬 ', ' 문댄스']",9.88
Wednesday,고등단편.zip,['웹툰작가'],9.83
Wednesday,인과관계,['강환영'],9.95
Wednesday,아이돌의 비밀...,['우아람'],9.39
Wednesday,범이올시다!,['해'],9.98
Wednesday,화가 살리에르,['백원달'],9.95
Wednesday,잿빛도 색이다,['쿼시'],9.83
Wednesday,멸종위기종인간,['사하라'],9.76
Wednesday,두 번 사는 ...,"['여로운 ', ' 왕십리글쟁이']",9.87
Wednesday,사랑과 평강의...,"['한기주 ', ' 일']",9.97
Wednesday,반짝반짝 작은...,['억수씨'],9.94
Wednesday,무용과 남학생,['이호진'],9.91
Wednesday,구사일생 로맨스,"['곰곰 ', ' 서정 ', ' 수(秀)\u200b']",9.90
Wednesday,웰컴 온보드,['다니'],8.67
Wednesday,혁명 뒤 공주는,['으앵'],9.93
Wednesday,뱀은 꽃을 먹...,['소나음'],9.80
Wednesday,"오직, 밝은 ...",['박원희'],9.84
Wednesday,하지만 너는 ...,['마주'],9.82
Wednesday,해귀,['알파A'],9.85
Wednesday,나의 계절,['박수민'],9.77
Wednesday,구주,"['준치 ', ' 조9']",9.87
Wednesday,필생기,['찬성'],9.76
Wednesday,수호하는 너에게,['김순돌'],9.89
Wednesday,재난소년,['코말랑'],9.10
Thursday,독립일기,['자까'],9.97
Thursday,연애혁명,['232'],9.87
Thursday,쇼미더럭키짱!,"['박태준 ', ' 김성모']",9.39
Thursday,더 복서,['정지훈'],9.92
Thursday,신림/남/22,['박태준 만화회사'],5.22
Thursday,나노마신,"['현절무 ', ' 금강불괴 ', ' 한...']",9.93
Thursday,기기괴괴,['오성대'],9.90
Thursday,이두나!,['민송아'],9.75
Thursday,나 혼자 네크...,"['김경열 ', ' 김동준 ', ' 지점장']",9.90
Thursday,현실퀘스트,"['이주운 ', ' 태성']",9.80
Thursday,정글쥬스,"['형은 ', ' 쥬더']",9.94
Thursday,천마육성,"['광휘 ', ' 조형근']",9.81
Thursday,신비,['반지'],9.98
Thursday,무사만리행,"['운 ', ' 배민기']",9.94
Thursday,특수청소,['한(恨)'],9.87
Thursday,묵시의 인플루...,['조석'],9.90
Thursday,겟백,['세윤'],9.98
Thursday,갓트,"['서패스 ', ' 아거주누']",9.88
Thursday,별을 삼킨 너...,['ARI'],9.93
Thursday,포식동물,"['신희빈 ', ' 치훈']",9.91
Thursday,하드캐리,['조양'],9.91
Thursday,불편한 관계,['잔스'],9.97
Thursday,던전 씹어먹는...,"['엄키 ', ' 제로워터']",9.89
Thursday,쿠베라,['카레곰'],9.96
Thursday,트롤트랩,['유비'],9.94
Thursday,부캐인생,"['까를로스 ', ' 징크']",9.73
Thursday,꽃만 키우는데...,"['주현후 ', ' 쿰타타']",9.97
Thursday,국세청 망나니,"['엘가 ', ' 신스 ', ' 동면거북이']",9.84
Thursday,최강전설 강해효,['최병열'],9.62
Thursday,오빠세끼,['올리브유'],9.77
Thursday,아인슈페너,['한끼룩'],9.93
Thursday,가족같은 XX,['서우현'],9.95
Thursday,진짜 진짜 이...,"['서후 ', ' 해인']",9.88
Thursday,완벽한 결혼의...,"['영 ', ' 제리볼 ', ' 이범배']",9.83
Thursday,"오, 친애하는...","['오쏘 ', ' 벨마 ', ' 미나토']",9.94
Thursday,따개비,"['뜰새 ', ' delete ', ' ...']",9.53
Thursday,마왕까지 한 ...,['윤홍'],9.97
Thursday,만능잡캐,"['키보드만세, 홍실 ', ' 김대훈']",9.78
Thursday,흑막 여주가 ...,"['이산시 ', ' 하리힌 ', ' 목감기']",9.98
Thursday,선남친 후연애,"['곰곰 ', ' 정미 ', ' 왕기대']",9.91
Thursday,만물의 영장,['보민'],9.97
Thursday,마계인섬,['초'],9.75
